flightTime,trackId,state,battery,speed,alarm,detector_type,range_type,detect_range,yaw_angle,pitch_angle,center_point
2026-07-21 08:00:00.000,drone_001,TAKEOFF,100.0,113.21,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:01.000,drone_001,TAKEOFF,99.9,113.52,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:02.000,drone_001,TAKEOFF,99.8,113.21,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:03.000,drone_001,TAKEOFF,99.8,113.52,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:04.000,drone_001,TAKEOFF,99.7,113.21,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:05.000,drone_001,TAKEOFF,99.6,113.52,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:06.000,drone_001,TAKEOFF,99.5,113.21,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:07.000,drone_001,TAKEOFF,99.5,113.03,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:08.000,drone_001,TAKEOFF,99.4,113.21,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:09.000,drone_001,TAKEOFF,99.3,113.21,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:10.000,drone_001,TAKEOFF,99.2,113.03,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:11.000,drone_001,TAKEOFF,99.2,113.21,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:12.000,drone_001,TAKEOFF,99.1,113.03,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:13.000,drone_001,TAKEOFF,99.0,113.03,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:14.000,drone_001,TAKEOFF,99.0,112.91,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:15.000,drone_001,TAKEOFF,98.9,112.72,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:16.000,drone_001,TAKEOFF,98.8,112.85,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:17.000,drone_001,TAKEOFF,98.7,112.72,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:18.000,drone_001,TAKEOFF,98.7,112.42,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:19.000,drone_001,TAKEOFF,98.6,112.54,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:20.000,drone_001,TAKEOFF,98.5,112.42,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:21.000,drone_001,TAKEOFF,98.4,112.54,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:22.000,drone_001,TAKEOFF,98.3,112.23,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:23.000,drone_001,TAKEOFF,98.3,112.23,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:24.000,drone_001,TAKEOFF,98.2,111.75,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:25.000,drone_001,TAKEOFF,98.1,112.23,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:26.000,drone_001,TAKEOFF,98.0,111.75,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:27.000,drone_001,TAKEOFF,98.0,111.44,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:28.000,drone_001,TAKEOFF,97.9,111.75,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:29.000,drone_001,TAKEOFF,97.8,111.26,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:30.000,drone_001,CRUISING,97.8,111.26,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:31.000,drone_001,CRUISING,97.7,111.44,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:32.000,drone_001,CRUISING,97.6,111.08,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:33.000,drone_001,CRUISING,97.5,110.95,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:34.000,drone_001,CRUISING,97.5,110.46,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:35.000,drone_001,CRUISING,97.4,110.77,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:36.000,drone_001,CRUISING,97.3,110.46,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:37.000,drone_001,CRUISING,97.2,110.28,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:38.000,drone_001,CRUISING,97.2,110.15,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:39.000,drone_001,CRUISING,97.1,109.80,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:40.000,drone_001,CRUISING,97.0,109.98,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:41.000,drone_001,CRUISING,96.9,109.49,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:42.000,drone_001,CRUISING,96.8,109.49,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:43.000,drone_001,CRUISING,96.8,109.18,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:44.000,drone_001,CRUISING,96.7,109.31,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:45.000,drone_001,CRUISING,96.6,108.69,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:46.000,drone_001,CRUISING,96.5,108.52,正常,光测,扇形,25000.0,24.7,22.5,机头
2026-07-21 08:00:47.000,drone_001,CRUISING,96.5,108.52,正常,光测,扇形,25000.0,24.7,22.5,机头
