flightTime,trackId,planId,经,lat,alt,heading,pitch,roll
2026-07-21 08:00:00.000,drone_003,PLAN1,104.070000,30.640000,680.0,89.72,0.25,0.00
2026-07-21 08:00:01.000,drone_003,PLAN1,104.070471,30.640002,680.2,89.15,0.13,-0.45
2026-07-21 08:00:02.000,drone_003,PLAN1,104.070942,30.640008,680.3,88.73,0.25,-0.34
2026-07-21 08:00:03.000,drone_003,PLAN1,104.071413,30.640017,680.5,88.02,0.13,-0.57
2026-07-21 08:00:04.000,drone_003,PLAN1,104.071884,30.640031,680.6,87.60,0.25,-0.34
2026-07-21 08:00:05.000,drone_003,PLAN1,104.072355,30.640048,680.8,87.03,0.13,-0.45
2026-07-21 08:00:06.000,drone_003,PLAN1,104.072826,30.640069,680.9,86.46,0.25,-0.46
2026-07-21 08:00:07.000,drone_003,PLAN1,104.073296,30.640094,681.1,85.90,0.25,-0.45
2026-07-21 08:00:08.000,drone_003,PLAN1,104.073766,30.640123,681.3,85.47,0.13,-0.35
2026-07-21 08:00:09.000,drone_003,PLAN1,104.074235,30.640155,681.4,84.76,0.25,-0.56
2026-07-21 08:00:10.000,drone_003,PLAN1,104.074704,30.640192,681.6,84.33,0.13,-0.35
2026-07-21 08:00:11.000,drone_003,PLAN1,104.075172,30.640232,681.7,83.76,0.25,-0.45
2026-07-21 08:00:12.000,drone_003,PLAN1,104.075640,30.640276,681.9,83.19,0.13,-0.46
2026-07-21 08:00:13.000,drone_003,PLAN1,104.076107,30.640324,682.0,82.77,0.25,-0.34
2026-07-21 08:00:14.000,drone_003,PLAN1,104.076574,30.640375,682.2,82.05,0.13,-0.57
2026-07-21 08:00:15.000,drone_003,PLAN1,104.077040,30.640431,682.3,81.61,0.25,-0.35
2026-07-21 08:00:16.000,drone_003,PLAN1,104.077505,30.640490,682.5,81.03,0.25,-0.46
2026-07-21 08:00:17.000,drone_003,PLAN1,104.077969,30.640553,682.7,80.45,0.13,-0.46
2026-07-21 08:00:18.000,drone_003,PLAN1,104.078432,30.640620,682.8,79.89,0.25,-0.45
2026-07-21 08:00:19.000,drone_003,PLAN1,104.078895,30.640691,683.0,79.43,0.13,-0.37
2026-07-21 08:00:20.000,drone_003,PLAN1,104.079356,30.640765,683.1,78.85,0.26,-0.46
2026-07-21 08:00:21.000,drone_003,PLAN1,104.079816,30.640843,683.3,78.29,0.13,-0.45
2026-07-21 08:00:22.000,drone_003,PLAN1,104.080276,30.640925,683.4,77.83,0.26,-0.37
2026-07-21 08:00:23.000,drone_003,PLAN1,104.080734,30.641010,683.6,77.11,0.13,-0.58
2026-07-21 08:00:24.000,drone_003,PLAN1,104.081191,30.641100,683.7,76.66,0.26,-0.35
2026-07-21 08:00:25.000,drone_003,PLAN1,104.081647,30.641193,683.9,76.19,0.13,-0.38
2026-07-21 08:00:26.000,drone_003,PLAN1,104.082101,30.641289,684.0,75.50,0.26,-0.55
2026-07-21 08:00:27.000,drone_003,PLAN1,104.082555,30.641390,684.2,75.00,0.13,-0.41
2026-07-21 08:00:28.000,drone_003,PLAN1,104.083006,30.641494,684.3,74.45,0.26,-0.44
2026-07-21 08:00:29.000,drone_003,PLAN1,104.083457,30.641602,684.5,73.97,0.13,-0.38
2026-07-21 08:00:30.000,drone_003,PLAN1,104.083906,30.641713,684.6,73.35,0.26,-0.49
2026-07-21 08:00:31.000,drone_003,PLAN1,104.084353,30.641828,684.8,72.77,0.13,-0.47
2026-07-21 08:00:32.000,drone_003,PLAN1,104.084799,30.641947,684.9,72.29,0.26,-0.39
2026-07-21 08:00:33.000,drone_003,PLAN1,104.085243,30.642069,685.1,71.71,0.13,-0.46
2026-07-21 08:00:34.000,drone_003,PLAN1,104.085686,30.642195,685.2,71.09,0.26,-0.50
2026-07-21 08:00:35.000,drone_003,PLAN1,104.086127,30.642325,685.4,70.60,0.13,-0.39
2026-07-21 08:00:36.000,drone_003,PLAN1,104.086566,30.642458,685.5,69.98,0.26,-0.50
2026-07-21 08:00:37.000,drone_003,PLAN1,104.087003,30.642595,685.7,69.49,0.13,-0.39
2026-07-21 08:00:38.000,drone_003,PLAN1,104.087438,30.642735,685.8,68.91,0.26,-0.46
2026-07-21 08:00:39.000,drone_003,PLAN1,104.087872,30.642879,686.0,68.38,0.13,-0.43
2026-07-21 08:00:40.000,drone_003,PLAN1,104.088303,30.643026,686.1,67.80,0.13,-0.46
2026-07-21 08:00:41.000,drone_003,PLAN1,104.088733,30.643177,686.2,67.26,0.26,-0.43
2026-07-21 08:00:42.000,drone_003,PLAN1,104.089160,30.643331,686.4,66.63,0.13,-0.50
2026-07-21 08:00:43.000,drone_003,PLAN1,104.089585,30.643489,686.5,66.19,0.26,-0.36
2026-07-21 08:00:44.000,drone_003,PLAN1,104.090009,30.643650,686.7,65.51,0.13,-0.54
2026-07-21 08:00:45.000,drone_003,PLAN1,104.090430,30.643815,686.8,64.96,0.13,-0.44
2026-07-21 08:00:46.000,drone_003,PLAN1,104.090848,30.643983,686.9,64.52,0.26,-0.36
2026-07-21 08:00:47.000,drone_003,PLAN1,104.091265,30.644154,687.1,63.83,0.13,-0.55
2026-07-21 08:00:48.000,drone_003,PLAN1,104.091679,30.644329,687.2,63.21,0.26,-0.50
2026-07-21 08:00:49.000,drone_003,PLAN1,104.092091,30.644508,687.4,62.78,0.13,-0.34
