time,longitude,latitude,height,divergence_angle,pitch_angle,roll_angle
08:00:00.000,104.0667,30.6667,0.0,0.0,0.0,0.0
08:00:00.100,104.066683,30.66662,0.138893,0.0,0.0,0.0
08:00:00.200,104.066665,30.666539,0.277785,0.0,0.0,0.0
08:00:00.300,104.066648,30.666459,0.416678,0.0,0.0,0.0
08:00:00.400,104.066631,30.666379,0.555571,0.0,0.0,0.0
08:00:00.500,104.066613,30.666299,0.694464,0.0,0.0,0.0
08:00:00.600,104.066596,30.666218,0.833356,0.0,0.0,0.0
08:00:00.700,104.066579,30.666138,0.972249,0.0,0.0,0.0
08:00:00.800,104.066562,30.666058,1.111142,0.0,0.0,0.0
08:00:00.900,104.066544,30.665978,1.250035,0.0,0.0,0.0
08:00:01.000,104.066527,30.665897,1.388927,0.0,0.0,0.0
08:00:01.100,104.06651,30.665817,1.52782,0.0,0.0,0.0
08:00:01.200,104.066492,30.665737,1.666713,0.0,0.0,0.0
08:00:01.300,104.066475,30.665657,1.805606,0.0,0.0,0.0
08:00:01.400,104.066458,30.665576,1.944498,0.0,0.0,0.0
08:00:01.500,104.06644,30.665496,2.083391,0.0,0.0,0.0
08:00:01.600,104.066423,30.665416,2.222284,0.0,0.0,0.0
08:00:01.700,104.066406,30.665336,2.361177,0.0,0.0,0.0
08:00:01.800,104.066389,30.665255,2.500069,0.0,0.0,0.0
08:00:01.900,104.066371,30.665175,2.638962,0.0,0.0,0.0
08:00:02.000,104.066354,30.665095,2.777855,0.0,0.0,0.0
08:00:02.100,104.066337,30.665015,2.916748,0.0,0.0,0.0
08:00:02.200,104.066319,30.664934,3.05564,0.0,0.0,0.0
08:00:02.300,104.066302,30.664854,3.194533,0.0,0.0,0.0
08:00:02.400,104.066285,30.664774,3.333426,0.0,0.0,0.0
08:00:02.500,104.066267,30.664694,3.472319,0.0,0.0,0.0
08:00:02.600,104.06625,30.664613,3.611211,0.0,0.0,0.0
08:00:02.700,104.066233,30.664533,3.750104,0.0,0.0,0.0
08:00:02.800,104.066215,30.664453,3.888997,0.0,0.0,0.0
08:00:02.900,104.066198,30.664373,4.02789,0.0,0.0,0.0
08:00:03.000,104.066181,30.664292,4.166782,0.0,0.0,0.0
08:00:03.100,104.066164,30.664212,4.305675,0.0,0.0,0.0
08:00:03.200,104.066146,30.664132,4.444568,0.0,0.0,0.0
08:00:03.300,104.066129,30.664052,4.583461,0.0,0.0,0.0
08:00:03.400,104.066112,30.663971,4.722353,0.0,0.0,0.0
08:00:03.500,104.066094,30.663891,4.861246,0.0,0.0,0.0
08:00:03.600,104.066077,30.663811,5.000139,0.0,0.0,0.0
08:00:03.700,104.06606,30.663731,5.139032,0.0,0.0,0.0
